Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,144.526,-82.55,270.0,top
C1,147.056,-81.026,90.0,top
C10,138.720108,-96.97126,180.0,top
C11,116.332,-110.031,270.0,top
C12,138.43,-103.886,0.0,top
C13,114.046,-110.031,270.0,top
C14,125.108478,-84.568825,90.0,top
C15,123.807992,-85.12603,90.0,top
C16,125.11,-115.24,90.0,top
C2,118.900402,-83.24762,180.0,top
C3,146.812,-76.172,270.0,top
C4,119.457937,-81.971805,180.0,top
C5,122.936,-115.062,180.0,top
C6,125.928708,-101.092,0.0,top
C7,125.923755,-104.653985,0.0,top
C8,129.794,-86.36,270.0,top
C9,134.4,-95.504,270.0,top
D1,113.325034,-85.092654,0.0,top
D2,113.325034,-86.755248,0.0,top
D3,120.263682,-110.658233,270.0,top
D4,128.778,-94.234,180.0,top
D5,138.43,-80.264,0.0,top
FB1,145.796,-66.802,90.0,top
J1,139.265034,-67.147035,180.0,top
J3,134.256899,-109.728,270.0,top
J4,141.500069,-90.03425,270.0,bottom
J5,143.82,-85.75,180.0,bottom
L1,119.38,-101.346,180.0,top
L2,138.7,-99.8,0.0,top
R1,118.957434,-64.546857,180.0,top
R10,140.5,-73.1,90.0,top
R11,137.0,-72.7,0.0,top
R12,143.51,-97.79,270.0,top
R13,123.752379,-87.655529,270.0,top
R14,144.729266,-95.504,90.0,top
R15,147.066,-83.566,90.0,top
R16,133.1,-70.3,270.0,top
R17,140.49,-85.62,270.0,top
R18,146.982801,-95.4936,270.0,top
R19,141.51,-85.59,90.0,top
R2,129.286,-109.982,90.0,top
R3,126.746,-102.87,90.0,top
R4,113.875034,-83.616643,180.0,top
R5,113.875034,-88.179035,180.0,top
R6,126.493312,-98.639383,0.0,top
R7,126.49572,-99.765047,180.0,top
R8,145.948532,-95.504,90.0,top
R9,143.51,-95.504,270.0,top
RESET1,144.526,-75.987035,90.0,top
U1,124.403034,-73.335035,90.0,top
U2,119.145274,-87.663564,270.0,top
U4,138.684,-94.742,0.0,top
U5,136.398,-75.438,90.0,top
U6,125.375,-109.72,90.0,top
